site,x,y,type
SE_pyr,16.33809271,78.65861545,SE
SE_bar,14.2072914,78.06545415,SE
SE_lyr,15.64337532,78.21747757,SE
SE_nya,11.93143419,78.92367236,SE
BC_skans,16.05061449,78.5258734,BC
BC_bjorn,15.32445865,78.22608728,BC
BC_calk,13.78241852,78.2056042,BC
BC_coss,12.45798379,78.92939156,BC
BC_stu,11.67673827,78.96031893,BC
BC_fjort,11.85716114,79.12837728,BC
ST_lyr,15.52843196,78.2424,ST
DY_1,15.69634743,78.21836971,DY
DY_2,15.70280232,78.2178983,DY
DY_3,15.90621984,78.17850048,DY
DY_4,15.95978545,78.17572034,DY
DY_5,15.96003272,78.17482093,DY
DY_6,15.95069815,78.17162812,DY
DY_7,15.95097373,78.17363025,DY
DY_8,15.95589884,78.16810729,DY
DY_9,15.99475465,78.16436267,DY
DY_10,16.00623253,78.17115013,DY
DY_11,15.98770585,78.16724173,DY
DY_12,15.99865591,78.1602709,DY
DY_13,15.90074366,78.18198852,DY
DY_bar,14.20289478,78.07163141,DY
HH_lyr,15.61673116,78.21734448,HH
HH_barcows,14.20228343,78.07089356,HH
HH_pyrpigs,16.32663414,78.65267579,HH
HH_dogs,15.56085995,78.19546309,HH